timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729273777595,455,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-17",text,true,,1105,1318,2,2,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,455,0,251
1729273777382,455,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-17",,true,,1105,1318,2,2,null,455,223,251
1729273778125,85,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-18",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,85,0,4
1729273777913,85,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-18",,true,,1105,1319,1,1,null,85,219,4
1729273778640,85,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-19",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,85,0,26
1729273778438,85,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-19",,true,,1105,1319,1,1,null,85,209,26
1729273779159,63,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-20",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,63,0,7
1729273778958,63,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-20",,true,,1105,1319,1,1,null,63,210,7
1729273779679,100,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-21",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,100,0,6
1729273779477,100,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-21",,true,,1105,1319,1,1,null,100,208,6
1729273780212,149,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-22",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,149,0,93
1729273779998,149,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-22",,true,,1105,1319,1,1,null,149,221,93
1729273780741,63,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-23",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,63,0,7
1729273780530,63,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-23",,true,,1105,1319,1,1,null,63,221,7
