country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0015,8004960015,0810505098004960015,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0016,8004960016,0810505098004960016,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0017,8004960017,0810505098004960017,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0018,8004960018,0810505098004960018,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0019,8004960019,0810505098004960019,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,NADBAI,0509,NADBAI (M) WARD NO.-0020,8004960020,0810505098004960020,North,Rajasthani,321602,A
IN,Hindi,India,RAJASTHAN,08,PRATAPGARH,131,CHHOTI SADRI,0698,INTON KA TALAB,108349,081310698108349,North,Rajasthani,312604,A
IN,Hindi,India,RAJASTHAN,08,BHARATPUR,105,WEIR,0512,IRNIYA,074880,081050512074880,North,Rajasthani,321601,A
IN,Hindi,India,RAJASTHAN,08,KARAULI,107,SAPOTRA,0525,AMRE KI GUWARI,077061,081070525077061,North,Rajasthani,322249,A
IN,Hindi,India,RAJASTHAN,08,SIROHI,117,REODAR,0596,HADMATIYA,090235,081170596090235,North,Rajasthani,307511,A
IN,Hindi,India,RAJASTHAN,08,CHITTORGARH,126,RAWATBHATA,0658,HADON KI MORVAN,100495,081260658100495,North,Rajasthani,323307,A
IN,Hindi,India,RAJASTHAN,08,JODHPUR,113,OSIAN,0568,JAGDAMBA NAGAR,084693,081130568084693,North,Rajasthani,342029,A
IN,Hindi,India,RAJASTHAN,08,BANSWARA,125,KUSHALGARH,0654,KANKRA KHURD DUNGRI,099735,081250654099735,North,Rajasthani,327601,A
IN,Hindi,India,RAJASTHAN,08,BHILWARA,122,BHILWARA,0634,KANOLI,095634,081220634095634,North,Rajasthani,311802,A
IN,Hindi,India,RAJASTHAN,08,KOTA,127,DIGOD,0666,KANWARPURA,101961,081270666101961,North,Rajasthani,325201,A
IN,Hindi,India,RAJASTHAN,08,BUNDI,121,NAINWA,0623,CHHOTIPARAP,093882,081210623093882,North,Rajasthani,323801,A
